uai;nom_etablissement;lattitude;ips;total_eleves_hors_segpa_ulis;total_eleves_segpa;total_eleves_ulis;pourcentage_filles
0370071B;Collège la Rabière;47.3463353760834;70.3;279;60;0;49.17580638325625094200
0771339M;Collège Pierre Brossolette;48.54493518460296;81.7;660;121;13;45.75250141082364582300
0870791M;Collège Anatole France;45.88104420475965;85.5;366;51;12;48.31888915628003319300
0510044W;Collège Colbert;49.282976093498846;76.8;457;0;12;46.92521874348504225500
0210025N;Collège Henri Dunant;47.303547365518966;93.8;332;0;10;48.63775891906309110000
0130007M;Collège Jas de Bouffan;43.52563799847461;79.4;413;120;0;46.29196388120000507600
0941032L;Collège Danielle Casanova;48.791453966746296;85.3;406;0;0;48.32137344978211941300
0692414Z;Collège Jean-Philippe Rameau;45.79275611788912;110.0;605;48;14;44.98176014956135852900
9740035V;Collège Célimène Gaudieux;-21.088562179504176;75.6;606;113;11;46.01878957614394507900
0840033E;Collège Voltaire;44.00987908595682;86.7;384;0;15;49.03820804004330801900
0131604Y;Collège Henri Wallon;43.3196178510615;65.1;587;0;14;50.77016453016294309800
7200612C;Collège Giraud;42.697546140832365;114.7;538;39;12;46.70328438554693696700
0500053L;Collège Le Fairage;49.18425859520142;92.1;226;0;0;48.89688299646650952400
0940794C;Collège Gustave Monod;48.789303375322085;76.8;456;0;0;44.76006733141845334200
0691480J;Collège Honoré de Balzac;45.72612116694508;84.1;641;0;13;50.65047273986810726400
0694295U;Collège Alice Guy;45.736783372104966;87.5;474;0;1;48.98444913939971095100
0220054P;Collège Jean Racine;48.50911833490083;101.8;530;0;11;46.52383293834688672900
0951142A;Collège Robert Doisneau;48.98981386857761;85.4;549;44;12;51.72876027956246456500
0180593X;Collège Victor Hugo;47.11022608113902;83.7;554;64;12;47.39095597520389811100
0060021R;Collège Saint-Hilaire;43.656755635436774;89.2;400;0;13;50.66924374354496820600
0910776Z;Collège Paul Eluard;48.70324809450867;85.6;675;0;13;49.93005508031625085800
0622871J;Collège Jacques Prévert;50.46188878086681;88.0;505;48;13;51.79168053941395434800
9730370P;Collège Réeberg Néron;4.895436364084357;96.5;635;0;37;50.21122912551372766000
0400648M;Collège Victor Duruy;43.89753517334212;89.9;566;0;13;46.69073813373412695700
7200027S;Collège de Luri;42.896769650260076;99.7;113;0;0;53.73684190027512673600
0930611J;Collège Nelson Mandela;48.94774164973576;80.0;537;0;0;46.08367879438397465600
0421451Z;Collège Marc Seguin;45.465018037373156;76.2;274;60;7;44.00125541027286552900
0780264N;Collège Les Grands Champs;48.91943566283153;81.9;397;43;11;46.96229384718641473800
0593254S;Collège Jules Verne;50.290125601829985;68.5;261;26;13;48.69966891876506301100
0441727N;Collège Arthur Rimbaud;47.32193185592498;86.7;327;0;12;51.90248780509242898900
0623918X;Collège Martin Luther King;47.76374492157552;72.8;447;0;0;47.13010778086189917900
0941015T;Collège Willy Ronis;48.81137476429898;91.4;707;62;0;49.39683802213222421800
0490048L;Collège Jean Rostand;47.44934443235111;89.4;431;58;0;47.10702548718814093700
0060841G;Collège Jean-Henri Fabre;43.731182936513065;88.6;645;74;0;49.45324260886123919600
0840716X;Collège Vallis Aeria;44.387896326262734;91.5;488;39;0;48.09146867342867002500
0671691Z;Collège Stockfeld;48.53867620451881;74.7;467;79;13;50.36667098872680755800
0440013A;Collège Bellevue;47.627333171285294;94.3;434;0;0;49.51797722025831308600
0595172B;Collège Eugène Thomas;50.24844416685529;112.8;936;37;0;44.86750124352072517500
0131604Y;Collège Henri Wallon;43.3196178510615;65.1;534;0;14;50.77016453016294309800
0030021G;Collège André Boutry;46.73330275355253;89.0;163;0;0;51.16011672315551625900
0931196V;Collège Pierre Sémard;48.91081460956552;82.3;563;0;0;47.15764826367156680100
0921242A;Collège Evariste Galois;48.78474200016353;123.3;722;48;11;46.91162109059311799300
0672459J;Collège Erasme;48.59165836495628;70.4;359;74;13;47.84526129733703195100
0920594W;Collège République;48.90266920221561;92.0;479;0;12;49.78846924616696515300
0771761W;Collège André Malraux;48.393866921306376;70.6;557;0;0;49.63950095685551405800
0631238D;Collège Antoine Audembron;45.8628286393282;86.9;583;65;23;50.37176369048401747000
0061668F;Collège les Jasmins - Sainte Marguerite;43.64350927991546;85.8;411;64;24;47.17004377479995802500
0761703N;Collège Albert Camus;49.926466699932085;74.7;261;49;13;48.58521059771482376800
0931219V;Collège Jean-Jacques Rousseau;48.883505211122696;94.9;618;0;0;49.34121457460756463300
0594524X;Collège Jean Moulin;50.59193523772984;73.1;202;46;13;49.24923166791099000900
0280753S;Collège Nicolas Robert;48.7165647756616;93.1;575;0;13;47.84892602491501390900
0890977D;Collège Jacques Prévert;47.96919238644468;89.3;377;60;0;46.66413224103722176200
0080954U;Collège Bayard;49.757769604557474;82.4;266;0;0;46.87176516034620119200
0141257R;Collège du Val d'Aure;49.31870397951404;83.9;153;0;15;55.88657883796259214300
0931979W;Collège Georges Brassens;48.93900977985926;84.1;683;0;12;47.64395514932363722000
0762459K;Collège Nelson Mandela;49.28224742151588;81.1;564;64;12;50.15102596714160037600
0830163B;Collège Pierre de Coubertin;43.39115939977601;91.6;862;50;12;48.81669068478291044300
0020056A;Collège Marthe Lefèvre;49.83675770982215;73.4;265;65;11;43.66986037302227193800
9730337D;Ma Aiye - Collège d'Apatou;5.159839273121396;70.6;517;45;11;47.99830732505096708500
0931143M;Collège Jean Jaurès;48.91092882393774;91.2;714;53;0;47.60575024390910146300
0694295U;Collège Alice Guy;45.736783372104966;87.5;491;0;0;48.98444913939971095100
0490042E;Collège Pierre Mendès France;47.24537303840275;81.6;208;0;12;49.95834278555363164000
0270022C;Collège Navarre;49.01830934776607;90.5;597;0;13;48.84857998147700595000
0311232W;Collège Claude Nougaro;43.62013833882529;102.1;318;0;0;52.40855934208744712200
0761698H;Collège Gérard Philipe;49.49699513535347;81.6;246;0;11;44.82934011654626428300
0351851X;Collège la Binquenais;48.09048614864535;82.9;525;60;7;48.91193338122127714100
0390924T;Collège Pré Saint-Sauveur;46.3794007022961;85.8;408;47;21;52.62199049015646403100
0921589C;Collège Evariste Galois;48.88733134349032;83.7;436;0;0;48.49966651566966749500
0420916T;Collège Puits de la Loire;45.44486266638672;78.8;468;63;10;48.93766532651057180500
0520050X;Collège Luis Ortiz;48.63874685362223;83.0;405;0;0;49.11219774594192005100
0921675W;Collège Marguerite Duras;48.91770976091729;86.0;484;53;11;45.94003007439950881500
0593242D;Collège Gustave Nadaud;50.70884740732559;78.3;534;52;14;49.54984397937801145800
0331419N;Collège Georges Rayet;44.842138625193755;107.4;610;0;10;52.10156604892787521600
0501525L;Collège la Chaussonnière;48.67889134000722;99.7;290;37;11;52.21549363125582243600
0331895F;Collège Montaigne;44.87379527053053;82.7;454;0;15;48.90572638086359627900
0541288G;Collège Vauban;49.520430343173885;83.4;408;0;10;46.52099850656997128500
0951356H;Collège Lucie Aubrac;48.95228380883669;81.2;648;0;11;47.27609968990344659900
0541515D;Collège Simone de Beauvoir;48.65174692130823;86.5;432;60;0;46.74687763139367390400
0930897V;Collège Paul Painlevé;48.94021045953347;76.8;610;0;14;49.55987368136669286300
0280918W;Collège Anatole France;48.081228983306346;76.0;254;96;0;49.97856751837881736000
